timestamp,pm2_5,pm10,no2,o3,so2,co,aqi
46:43.2,91.26,132.72,60.36,105.73,7.42,309.7,4
46:43.2,173.68,131.66,46.63,72.42,37.93,695.43,5
46:43.2,129.83,222.52,72.09,118.12,22.74,371.42,4
46:43.2,128.58,217.88,30.63,87.07,19.33,756.27,4
46:43.2,71.17,245.47,61.56,41.36,33.38,781.96,4
46:43.2,69.61,128.36,70.29,90.86,34.25,542.76,4
46:43.2,61.97,243.49,76.68,59.26,16.63,285.8,4
46:43.2,156.16,148.87,60.99,91.77,29.28,424.73,5
46:43.2,121.23,137.12,49.83,36.27,31.99,678.64,4
46:43.2,126.69,130.71,57.07,45.74,27.91,420.43,4
46:43.2,59.13,252.38,72.13,107.02,10.31,252.21,4
46:43.2,174.09,236.62,54.24,50.45,35.66,534.07,5
46:43.2,146.74,196.54,21.82,105.33,23.87,707.07,4
46:43.2,76.55,165.3,75.86,55.13,14.89,677.56,4
46:43.2,75.74,257.24,61.37,87.86,19.88,305.07,4
46:43.2,71.6,166.45,60.59,92.47,6.31,603.66,4
46:43.2,94.2,260.6,32.94,76.14,9.48,332.3,4
46:43.2,120.12,194.44,59.53,57.48,31.79,330.92,4
46:43.2,105.69,177.53,43.63,49.14,5,724.44,4
46:43.2,86.76,185.75,59.07,32.99,19.58,349.8,4
46:43.2,129.86,169.6,26.4,57.36,23.29,357.95,4
46:43.2,72.18,239.45,59.47,88.78,6.91,200.39,4
46:43.2,92.85,205.6,79.96,114.45,39.06,722.4,4
46:43.2,98.85,153.85,22.89,108.41,12.91,675.56,4
46:43.2,111.43,273.82,78.63,98.95,15.65,576.4,4
46:43.2,145.97,178.98,44.41,100.96,15.64,650.16,4
46:43.2,77.4,200.82,72.25,89.85,13.06,291.23,4
46:43.2,121.03,281.58,66.94,53.43,5.05,474.99,4
46:43.2,123.07,218.15,54.02,111.65,30.53,410.73,4
46:43.2,62.12,133.62,64.31,90.37,38.84,256.27,4
46:43.2,119.09,259.11,72.71,80.44,12.85,491.68,4
46:43.2,76.45,221.36,44.25,39.99,28.21,752.44,4
46:43.2,63.93,169.99,39.62,70.23,30.97,224.04,4
46:43.2,154.97,129.3,60.06,71.43,34.69,374.88,5
46:43.2,153.82,229.96,68.47,107.81,19.79,324.52,5
46:43.2,148.73,219.4,65.74,79.2,15.6,342.89,4
46:43.2,93.51,209.22,67.87,64.24,16.39,745.06,4
46:43.2,67.16,263.05,46.13,117.91,29.94,480.84,4
46:43.2,127.46,234.94,69.07,39.96,33.59,479.78,4
46:43.2,107.8,140.75,27.21,68.03,11.36,656.35,4
46:43.2,65.49,154.51,52.67,33.78,17.98,292.7,4
46:43.2,110.53,152.47,20.35,96.59,36.57,492.36,4
46:43.2,56.97,225.59,39.48,112.63,33.23,457.99,4
46:43.2,150.73,112.33,41.99,55.2,39.47,558.15,5
46:43.2,81.37,198.91,43.77,107.25,31.4,799.73,4
46:43.2,128.1,236.21,61.73,56.3,18.76,661.67,4
46:43.2,85.08,242.67,43.31,111.97,25.67,438.72,4
46:43.2,112.58,167,46.92,97.86,28.14,696.53,4
46:43.2,117.43,250.39,34.25,102.44,7.75,302.43,4
46:43.2,76.52,130.27,42.4,31.62,24.06,218.28,4
46:43.2,161.84,249.95,33.64,116.65,29.83,322.67,5
46:43.2,149.73,139.88,24.39,95.4,10.86,404.25,4
46:43.2,153.06,169.69,56.21,57.43,32.32,506.35,5
46:43.2,156.35,246.15,60.09,104.65,25.43,569.08,5
46:43.2,115.27,128.6,57.17,55.34,38.33,746.36,4
46:43.2,149.49,141.29,47.81,108.55,6.48,505.91,4
46:43.2,66.61,235.8,42.79,40.13,14.29,500.77,4
46:43.2,78.69,235.16,71.8,93.33,26.05,230.15,4
46:43.2,64.36,231.58,51.14,78.66,15.38,220.95,4
46:43.2,93.2,230.47,48.75,38.69,30,530.7,4
46:43.2,106.07,216.52,21.54,51.77,31.57,462.91,4
46:43.2,80.82,144.35,40.47,31.12,8.59,703.51,4
46:43.2,140.27,160.31,42.81,72.19,22.98,296.41,4
46:43.2,89.71,133.23,43.93,57.11,22.81,214.98,4
46:43.2,83.53,252.72,54.81,83.85,17.92,469.42,4
46:43.2,117.47,211.25,52.02,56.75,37.65,342.49,4
46:43.2,73.28,183.07,56.47,56.99,33.96,229.77,4
46:43.2,136.38,177.31,65.89,96.89,29.4,634.76,4
46:43.2,68.45,288.42,68.78,34.33,30,266.96,4
46:43.2,174.67,144.5,63.09,111.26,21.16,564.99,5
46:43.2,138.35,204.37,77.33,106.7,37.23,368.63,4
46:43.2,73.53,185.09,21.09,90.1,29.31,304.1,4
46:43.2,53.95,204.6,31.75,83.39,30.51,427.85,3
46:43.2,139.48,108.91,20.45,110.31,35.16,680.87,4
46:43.2,127.89,244.6,58.85,46.68,14.59,435.26,4
46:43.2,138.01,269.31,73.88,37.11,33.25,650.46,4
46:43.2,137.21,199.43,34.61,51.56,11.83,275.29,4
46:43.2,62.99,224.4,75.62,101.51,17.09,663.66,4
46:43.2,102.87,285.65,23.62,33.12,16.75,342.16,4
46:43.2,70.79,236.89,76.07,82.45,39.25,606.44,4
