timestamp,pm2_5,pm10,no2,o3,so2,co,aqi
2025-12-18 06:00:00,443.34,542.72,14.31,62.78,2.54,2174.24,5
2025-12-18 07:00:00,354.41,440.28,5.9,145.52,3.58,1398.22,5
2025-12-18 08:00:00,319.07,401.2,4.29,155.41,3.94,1165.39,5
2025-12-18 09:00:00,311.02,394.11,3.97,159.59,4.57,1100.88,5
2025-12-18 10:00:00,319.24,403.91,6.0,157.39,5.11,1148.02,5
2025-12-18 11:00:00,327.55,412.83,10.59,154.87,6.02,1244.44,5
2025-12-18 12:00:00,339.24,424.83,15.96,150.07,7.11,1358.14,5
2025-12-18 13:00:00,352.79,438.17,20.18,144.52,8.36,1485.34,5
2025-12-18 14:00:00,372.96,459.37,22.45,139.73,9.8,1615.19,5
2025-12-18 15:00:00,392.79,481.25,22.58,133.2,11.02,1721.64,5
2025-12-18 16:00:00,404.75,493.62,20.75,116.34,10.5,1766.45,5
2025-12-18 17:00:00,419.73,509.9,19.6,104.04,10.22,1813.82,5
2025-12-18 18:00:00,431.79,522.24,18.69,95.84,9.98,1841.21,5
2025-12-18 19:00:00,433.04,521.39,16.95,88.07,9.13,1806.37,5
2025-12-18 20:00:00,434.62,521.63,15.0,80.58,8.09,1772.84,5
2025-12-18 21:00:00,436.78,523.23,13.31,72.37,6.8,1750.85,5
2025-12-18 22:00:00,435.78,521.6,11.99,62.64,5.17,1731.35,5
2025-12-18 23:00:00,435.48,521.96,11.05,54.04,3.97,1718.77,5
2025-12-19 00:00:00,434.14,521.87,10.41,46.91,3.11,1706.14,5
2025-12-19 01:00:00,432.02,521.16,10.18,39.97,2.46,1702.52,5
2025-12-19 02:00:00,435.27,522.16,11.89,31.09,2.27,1766.47,5
2025-12-19 03:00:00,443.05,526.81,15.65,21.2,2.29,1898.01,5
2025-12-19 04:00:00,443.99,530.33,16.23,18.01,2.26,2003.51,5
2025-12-19 05:00:00,438.58,533.08,14.56,26.25,2.28,2049.57,5
2025-12-19 06:00:00,431.12,533.36,13.86,48.65,2.27,2034.24,5
2025-12-19 07:00:00,315.92,437.82,6.03,120.6,2.97,1253.83,5
2025-12-19 08:00:00,278.91,398.8,4.17,135.23,3.24,1029.55,5
2025-12-19 09:00:00,271.58,389.73,3.81,143.06,3.59,972.47,5
2025-12-19 10:00:00,277.16,393.01,5.77,132.99,3.64,1017.25,5
2025-12-19 11:00:00,283.53,396.43,9.92,111.99,3.62,1107.35,5
2025-12-19 12:00:00,289.09,401.34,15.23,97.68,4.16,1207.56,5
2025-12-19 13:00:00,296.07,408.61,19.97,88.29,5.1,1312.47,5
2025-12-19 14:00:00,306.33,421.37,22.91,79.32,5.89,1413.96,5
2025-12-19 15:00:00,317.06,436.29,24.53,70.37,6.4,1511.87,5
2025-12-19 16:00:00,321.07,442.51,24.73,59.97,6.19,1563.16,5
2025-12-19 17:00:00,326.85,451.48,24.61,49.14,5.29,1613.28,5
2025-12-19 18:00:00,330.45,456.96,24.35,39.23,3.85,1650.73,5
2025-12-19 19:00:00,326.12,451.4,23.15,31.32,2.41,1624.58,5
2025-12-19 20:00:00,324.85,451.33,21.72,26.79,1.77,1601.03,5
2025-12-19 21:00:00,326.57,455.69,20.6,23.71,1.55,1594.79,5
2025-12-19 22:00:00,331.7,462.48,20.03,20.94,1.53,1611.35,5
2025-12-19 23:00:00,340.86,472.65,19.56,18.16,1.47,1653.67,5
2025-12-20 00:00:00,350.44,481.83,19.04,15.72,1.36,1697.53,5
2025-12-20 01:00:00,358.5,487.07,18.24,13.28,1.19,1727.39,5
2025-12-20 02:00:00,365.27,489.2,18.18,9.98,1.16,1782.6,5
2025-12-20 03:00:00,367.19,483.3,18.56,6.68,1.19,1843.83,5
2025-12-20 04:00:00,351.14,457.19,15.61,8.96,1.19,1818.66,5
2025-12-20 05:00:00,331.27,436.73,13.42,16.17,1.3,1757.26,5
2025-12-20 06:00:00,319.01,427.73,13.07,32.1,1.4,1692.35,5
2025-12-20 07:00:00,332.17,448.23,7.51,105.08,2.2,1371.89,5
2025-12-20 08:00:00,329.59,441.27,5.84,120.75,2.61,1277.04,5
2025-12-20 09:00:00,321.1,427.93,5.44,126.98,3.15,1184.44,5
2025-12-20 10:00:00,320.55,422.64,6.69,120.43,3.52,1146.54,5
2025-12-20 11:00:00,319.95,419.52,9.8,99.46,3.34,1167.7,5
2025-12-20 12:00:00,317.22,415.9,13.94,83.18,3.43,1202.3,5
2025-12-20 13:00:00,315.17,413.01,17.63,71.01,3.59,1245.58,5
2025-12-20 14:00:00,316.68,413.09,19.23,60.62,3.18,1286.43,5
2025-12-20 15:00:00,317.73,410.54,19.52,53.33,2.76,1314.05,5
2025-12-20 16:00:00,312.45,398.63,19.2,46.18,2.32,1314.12,5
2025-12-20 17:00:00,311.66,393.42,19.18,39.11,2.04,1340.95,5
2025-12-20 18:00:00,311.36,389.62,18.7,33.44,1.74,1359.25,5
2025-12-20 19:00:00,307.54,381.62,17.23,29.95,1.35,1334.75,5
2025-12-20 20:00:00,305.52,375.44,15.48,28.36,1.1,1307.67,5
2025-12-20 21:00:00,305.92,371.39,13.87,27.74,0.96,1290.62,5
2025-12-20 22:00:00,307.29,369.02,12.54,28.65,0.94,1283.64,5
2025-12-20 23:00:00,311.17,367.97,11.88,26.8,0.81,1302.67,5
2025-12-21 00:00:00,315.08,368.56,11.39,25.41,0.73,1324.59,5
2025-12-21 01:00:00,318.9,370.55,10.95,25.81,0.77,1347.81,5
2025-12-21 02:00:00,323.61,375.03,10.99,27.0,0.99,1380.33,5
2025-12-21 03:00:00,327.71,380.89,11.4,29.63,1.29,1412.18,5
2025-12-21 04:00:00,324.13,381.6,10.1,41.02,1.78,1382.51,5
2025-12-21 05:00:00,321.15,380.65,8.66,54.36,2.19,1358.16,5
2025-12-21 06:00:00,323.75,383.91,7.54,72.23,2.51,1349.71,5
2025-12-21 07:00:00,306.88,373.66,6.04,101.29,3.42,1191.86,5
2025-12-21 08:00:00,297.27,368.77,4.68,123.64,4.57,1070.49,5
2025-12-21 09:00:00,306.5,376.18,4.27,136.5,5.35,1074.06,5
2025-12-21 10:00:00,314.6,380.83,4.81,140.72,5.8,1092.62,5
2025-12-21 11:00:00,317.7,378.0,6.14,132.16,5.63,1109.42,5
